event_date,event_timestamp,event_timestamp_jst,event_name,user_pseudo_id,ga_session_id,ga_session_number,session_id,page_location,page_referrer,page_path,prev_page_path,page_num_dom,original_page_num,stay_ms,total_duration_ms,load_time_ms,max_page_reached,completion_rate,total_pages,click_x_rel,click_y_rel,elem_tag,elem_id,elem_classes,scroll_pct,utm_source,utm_medium,utm_campaign,utm_content,device_type,direction,navigation_method,link_url,video_src,session_variant,presence_test_variant,creative_test_variant,ab_variant,ab_test_target,ab_test_type,cv_type,cv_value,value
2025-09-23,2025-09-23 19:46:39.656130,2025-09-23 19:46:39.656130,session_start,user_000077,9060451,7,user_000077-9060451,https://example.com/lp/product-a,https://twitter.com/,/lp/product-a,/lp/product-a#page-6,7,7,5001,77340,1136,9,0.9,10,,,,,,0.3306460325162661,facebook,social,spring_sale,ad_5,mobile,backward,click,https://example.com/thank-you,,control,B,,control,,presence,,,
2025-09-23,2025-09-23 19:52:02.656130,2025-09-23 19:52:02.656130,swipe_page,user_000276,6978495,3,user_000276-6978495,https://example.com/lp/product-a,https://www.instagram.com/,/lp/product-a,/lp/product-a#page-6,7,7,4024,186724,3919,8,0.8,10,,,,,,0.100471474790269,twitter,referral,brand_awareness,ad_5,mobile,backward,swipe,,,control,control,B,control,hero_image,,,,
2025-09-23,2025-09-23 19:55:40.656130,2025-09-23 19:55:40.656130,swipe_page,user_000314,2197444,5,user_000314-2197444,https://example.com/lp/product-a,https://twitter.com/,/lp/product-a,,1,1,15963,61833,1027,3,0.3,10,,,,,,0.3982412591021407,google,none,summer_campaign,ad_3,mobile,backward,swipe,https://example.com/thank-you,https://example.com/video1.mp4,B,control,,B,hero_image,layout,,,
2025-09-23,2025-09-23 20:02:58.656130,2025-09-23 20:02:58.656130,click,user_000242,1173819,5,user_000242-1173819,https://example.com/lp/product-b,https://twitter.com/,/lp/product-b,/lp/product-b#page-7,8,8,96555,199831,4258,8,0.8,10,0.43521878445136075,0.25942780315053426,a,,btn-primary,0.9643673273110007,direct,none,summer_campaign,,desktop,backward,swipe,https://example.com/thank-you,,A,,control,A,cta_button,creative,,,
2025-09-23,2025-09-23 20:08:53.656130,2025-09-23 20:08:53.656130,page_view,user_000564,6752121,1,user_000564-6752121,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,/lp/service-x#page-6,7,7,102205,117260,2222,9,0.9,10,,,,,,0.14866023432103123,facebook,cpc,summer_campaign,ad_1,mobile,forward,button,https://example.com/lp/service-x,https://example.com/video1.mp4,B,B,B,B,,layout,,,
2025-09-23,2025-09-23 20:16:33.656130,2025-09-23 20:16:33.656130,page_view,user_000467,1337170,3,user_000467-1337170,https://example.com/lp/product-a,,/lp/product-a,/lp/product-a#page-1,2,2,5581,253403,2376,4,0.4,10,,,,,,0.8098208933605991,instagram,cpc,brand_awareness,ad_5,desktop,forward,click,,,A,,,A,cta_button,creative,,,
2025-09-23,2025-09-23 20:17:45.656130,2025-09-23 20:17:45.656130,session_start,user_000662,5651725,5,user_000662-5651725,https://example.com/lp/product-a,https://www.facebook.com/,/lp/product-a,/lp/product-a#page-7,8,8,26600,145090,3719,8,0.8,10,,,,,,0.2705603798984004,twitter,social,summer_campaign,,tablet,forward,scroll,https://example.com/thank-you,https://example.com/video1.mp4,B,control,,B,,creative,,,
2025-09-23,2025-09-23 20:22:24.656130,2025-09-23 20:22:24.656130,conversion,user_000414,2026723,8,user_000414-2026723,https://example.com/lp/product-a,https://twitter.com/,/lp/product-a,/lp/product-a#page-1,2,2,114643,288774,2556,3,0.3,10,,,,,,0.9165438896038995,twitter,organic,,ad_2,mobile,forward,scroll,,https://example.com/video1.mp4,A,control,A,A,,presence,,,
2025-09-23,2025-09-23 20:26:52.656130,2025-09-23 20:26:52.656130,conversion,user_000053,8225691,3,user_000053-8225691,https://example.com/lp/product-b,https://twitter.com/,/lp/product-b,/lp/product-b#page-9,10,10,83101,199757,965,10,1.0,10,,,,,,0.8334581186015702,google,social,brand_awareness,ad_3,tablet,forward,button,https://example.com/lp/product-b,https://example.com/video1.mp4,A,control,A,A,hero_image,creative,,,
2025-09-23,2025-09-23 20:31:11.656130,2025-09-23 20:31:11.656130,conversion,user_000007,5905906,6,user_000007-5905906,https://example.com/lp/service-x,https://twitter.com/,/lp/service-x,/lp/service-x#page-1,2,2,29856,61101,4330,6,0.6,10,,,,,,0.8222725268868228,google,none,spring_sale,ad_3,mobile,backward,button,https://example.com/lp/service-x,,A,,,A,hero_image,presence,,,
